,Title,F,M,MovieID,Rating,No.,MovieID,Genres
3411,Toy Story (1995),4.187817259,4.130551817,1,4.146846413,6231,1,Animation|Children's|Comedy
1779,Jumanji (1995),3.278409091,3.175238095,2,3.201141227,2103,2,Adventure|Children's|Fantasy
1428,Grumpier Old Men (1995),3.073529412,2.994152047,3,3.016736402,956,3,Comedy|Romance
3542,Waiting to Exhale (1995),2.976470588,2.482352941,4,2.729411765,340,4,Comedy|Drama
1132,Father of the Bride Part II (1995),3.212962963,2.888297872,5,3.006756757,296,5,Comedy
1500,Heat (1995),3.682170543,3.90998767,6,3.878723404,2820,6,Action|Crime|Thriller
2873,Sabrina (1995),3.588235294,3.267716535,7,3.410480349,916,7,Comedy|Romance
3388,Tom and Huck (1995),3.357142857,2.775,8,3.014705882,136,8,Adventure|Children's
3208,Sudden Death (1995),2.1,2.717391304,9,2.656862745,102,9,Action
1371,GoldenEye (1995),3.470149254,3.553050398,10,3.540540541,2664,10,Action|Adventure|Thriller
138,"American President, The (1995)",3.92348285,3.718654434,11,3.793804453,3099,11,Comedy|Drama|Romance
978,Dracula: Dead and Loving It (1995),2.892857143,2.25,12,2.3625,320,12,Comedy|Horror
275,Balto (1995),3.642857143,3.112676056,13,3.262626263,198,13,Animation|Children's
2390,Nixon (1995),3.75,3.496,14,3.54248366,153,14,Drama
823,Cutthroat Island (1995),3.2,2.341269841,15,2.45890411,438,15,Action|Adventure|Romance
610,Casino (1995),3.609022556,3.837887067,16,3.793255132,1364,16,Drama|Thriller
2929,Sense and Sensibility (1995),4.233333333,3.819277108,17,4.02754491,1670,17,Drama|Romance
1228,Four Rooms (1995),3.222222222,3.361538462,18,3.337579618,157,18,Thriller
45,Ace Ventura: When Nature Calls (1995),2.269662921,2.543333333,19,2.480719794,389,19,Comedy
2211,Money Train (1995),2.6,2.531034483,20,2.5375,160,20,Action
1315,Get Shorty (1995),3.597902098,3.630841121,21,3.623893805,4068,21,Action|Comedy|Drama
767,Copycat (1995),3.443396226,3.3125,22,3.349206349,1134,22,Crime|Drama|Thriller
219,Assassins (1995),2.894736842,2.85046729,23,2.857142857,126,23,Thriller
2633,Powder (1995),3.079710145,3.20781893,24,3.179487179,1248,24,Drama|Sci-Fi
1908,Leaving Las Vegas (1995),3.45819398,3.735682819,25,3.651020408,1960,25,Drama|Romance
2477,Othello (1995),3.5625,3.514705882,26,3.53,100,26,Drama
2410,Now and Then (1995),2.947368421,2.913043478,27,2.93442623,61,27,Drama
2553,Persuasion (1995),4.132743363,3.924242424,28,4.055865922,179,28,Romance
