MovieID,Title,Year,Genre,No_View,Rating
1311,Santa with Muscles (1996),1996,Comedy,7,1
3123,Spring Fever USA (a.k.a. Lauderdale) (1989),1989,Comedy,3,1
1115,Sleepover (1995),1995,Comedy,2,1
3651,"Blood Spattered Bride, The (La Novia Ensangrentada) (1972)",1972,Horror,2,1
1142,Get Over It (1996),1996,Drama,2,1
1165,"Bloody Child, The (1996)",1996,Drama,2,1
2039,Cheetah (1989),1989,Adventure,2,1
2213,Waltzes from Vienna (1933),1933,Comedy,2,1
895,Venice/Venice (1992),1992,Drama,2,1
2217,Elstree Calling (1930),1930,Comedy,2,1
3228,Wirey Spindell (1999),1999,Comedy,2,1
3493,Torso (Corpi Presentano Tracce di Violenza Carnale) (1973),1973,Horror,2,1
133,Nueba Yol (1995),1995,Comedy,2,1
1430,Underworld (1997),1997,Thriller,1,1
3202,Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),1971,Drama,1,1
3312,"McCullochs, The (1975)",1975,Drama,1,1
655,Mutters Courage (1995),1995,Comedy,1,1
684,Windows (1980),1980,Drama,1,1
843,Lotto Land (1995),1995,Drama,1,1
3237,Kestrel's Eye (Falkens 锟界a) (1998),1998,Documentary,1,1
3209,"Loves of Carmen, The (1948)",1948,Drama,1,1
2845,White Boys (1999),1999,Drama,1,1
730,"Low Life, The (1994)",1994,Drama,1,1
3376,"Fantastic Night, The (La Nuit Fantastique) (1949)",1949,Romance,1,1
3460,Hillbillys in a Haunted House (1967),1967,Comedy,1,1
142,Shadows (Cienie) (1988),1988,Drama,1,1
1386,Terror in a Texas Town (1958),1958,Western,1,1
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",1994,Drama,1,1
641,"Little Indian, Big City (Un indien dans la ville) (1994)",1994,Comedy,1,1
826,Diebinnen (1995),1995,Drama,1,1
3574,Carnosaur 3: Primal Species (1996),1996,Horror,34,1.058823529
3027,Slaughterhouse 2 (1988),1988,Horror,7,1.142857143
3166,Brenda Starr (1989),1989,Adventure,6,1.166666667
1720,Time Tracers (1995),1995,Action,21,1.285714286
1495,Turbo: A Power Rangers Movie (1997),1997,Action,132,1.318181818
3762,Daughter of Dr. Jeckyll (1957),1957,Horror,3,1.333333333
